emd_cd,emd_eng_nm,법정구명,emd_kor_nm,val1
11170112,Wonhyoro 1(iI)-ga, 용산구,원효로1가,426
11170113,Wonhyoro 2(i)-ga, 용산구,원효로2가,429
11170114,Sinchang-dong, 용산구,신창동,430
11170115,Sancheon-dong, 용산구,산천동,432
11170116,Cheongam-dong, 용산구,청암동,400
11170117,Wonhyoro 3(sam)-ga, 용산구,원효로3가,433
11170118,Wonhyoro 4(sa)-ga, 용산구,원효로4가,434
11170119,Hyochang-dong, 용산구,효창동,436
11170120,Dowon-dong, 용산구,도원동,414
11170121,Yongmun-dong, 용산구,용문동,437
11170122,Munbae-dong, 용산구,문배동,438
11170123,Singye-dong, 용산구,신계동,439
11170124,Hangangno 1(il)-ga, 용산구,한강로1가,440
11170125,Hangangno 2(i)-ga, 용산구,한강로2가,441
11170126,Yongsan-dong 3(sam)-ga, 용산구,용산동3가,442
11170127,Yongsan-dong 5(o)-ga, 용산구,용산동5가,445
11170128,Hangangno 3(sam)-ga, 용산구,한강로3가,446
11170129,Ichon-dong, 용산구,이촌동,447
11170130,Itaewon-dong, 용산구,이태원동,448
11170131,Hannam-dong, 용산구,한남동,449
11170132,Dongbinggo-dong, 용산구,동빙고동,450
11170133,Seobinggo-dong, 용산구,서빙고동,451
11170134,Juseong-dong, 용산구,주성동,452
11170135,Yongsan-dong 6(yuk)-ga, 용산구,용산동6가,453
11170136,Bogwang-dong, 용산구,보광동,454
11200101,Sangwangsimni-dong, 성동구,상왕십리동,455
11200102,Hawangsimni-dong, 성동구,하왕십리동,456
11200103,Hongik-dong, 성동구,홍익동,458
11200104,Doseon-dong, 성동구,도선동,459
11200105,Majang-dong, 성동구,마장동,460
11200106,Sageun-dong, 성동구,사근동,461
11200107,Haengdang-dong, 성동구,행당동,462
11200108,Eungbong-dong, 성동구,응봉동,181
11200109,Geumho-dong1(il)-ga, 성동구,금호동1가,184
11200110,Geumho-dong2(i)-ga, 성동구,금호동2가,185
11200111,Geumho-dong3(sam)-ga, 성동구,금호동3가,186
11200112,Geumho-dong4(sa)-ga, 성동구,금호동4가,189
11200113,Oksu-dong, 성동구,옥수동,191
11200114,Seongsu-dong1(il)-ga, 성동구,성수동1가,192
11200115,Seongsu-dong2(i)-ga, 성동구,성수동2가,193
11200118,Songjeong-dong, 성동구,송정동,428
11200122,Yongdap-dong, 성동구,용답동,195
11215101,Junggok-dong, 광진구,중곡동,197
11215102,Neung-dong, 광진구,능동,198
11215103,Guui-dong, 광진구,구의동,199
11215104,Gwangjang-dong, 광진구,광장동,200
11215105,Jayang-dong, 광진구,자양동,201
11215107,Hwayang-dong, 광진구,화양동,202
11215109,Gunja-dong, 광진구,군자동,203
11230101,Sinseol-dong, 동대문구,신설동,457
11230102,Yongdu-dong, 동대문구,용두동,204
11230103,Jegi-dong, 동대문구,제기동,205
11230104,Jeonnong-dong, 동대문구,전농동,206
11230105,Dapsipni-dong, 동대문구,답십리동,207
11230106,Jangan-dong, 동대문구,장안동,208
11230107,Cheongnyangni-dong, 동대문구,청량리동,209
11230108,Hoegi-dong, 동대문구,회기동,210
